title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
Why Are You a Vegan? and Other Wacky Verse for Kids,standalone,Violet's Vegan Comics,['Poetry'],116,January 5th 2015,2015,5.0,100.0,81.15
"You, My Love: A Diary in Verse",standalone,Richard Atwood,['Poetry'],116,February 10th 2008,2008,5.0,100.0,8.99
CIRCUS RIDER,standalone,Peter Breschard,['Historical Fiction'],330,December 15th 2010,2010,5.0,100.0,19.59
Bertie's Book of Spooky Wonders,standalone,Ocelot Emerson,"['Middle Grade', 'Fantasy']",244,October 15th 2019,2019,5.0,100.0,14.19
Manhood Of Humanity - The Science And Art Of Human Engineering,standalone,Alfred Korkzybski,['Science'],280,April 4th 2010,2010,5.0,100.0,22.40
100 XIV,standalone,Jerry Seguin,['Art'],104,December 14th 2013,2013,5.0,100.0,23.55
Maze of Existence,Mystic Deja,Tina M. Randolph,['Fantasy'],178,October 10th 2002,2002,5.0,100.0,7.97
The Illustrated Vivian Stanshall: A Fairytale of Grimm Art,standalone,Ki Longfellow,"['Art', 'Biography', 'Memoir']",326,February 5th 2018,2018,4.93,99.0,56.86
Orion: The Fight for Vox,Voxian,Ruth Watson-Morris,['Fantasy'],314,August 11th 2012,2012,4.93,100.0,13.74
A Debt Free You,standalone,Steve Julien,"['Finance', 'Nonfiction']",104,March 1st 2012,2012,4.92,100.0,38.83
Book Too: Because of Grandmother,standalone,Ali Marsman,['Fiction'],204,January 11th 2019,2019,4.9,100.0,21.34
James Tissot: The Life of Christ,standalone,Hudith F. Dolkart,['Art'],304,November 21st 2009,2009,4.89,100.0,305.07
"The Vampire King (The Horn King, #3)",standalone,Brae Wyckoff,['Fantasy'],302,August 5th 2015,2015,4.87,100.0,15.41
More To Life,standalone,Jacob Lasher,['Poetry'],160,January 11th 2019,2019,4.86,100.0,7.33
Maya of the Inbetween,standalone,Sita Bennett,"['Science Fiction', 'Nature', 'Coming Of Age', 'Fiction', 'Environment', 'Epic Fantasy', 'Young Adult', 'Fantasy', 'Climate Change Fiction']",326,June 14th 2020,2020,4.86,97.0,20.61
An A - Z of Looney Limericks (for big kids),standalone,Bernie Morris,['Poetry'],124,January 22nd 2009,2009,4.85,100.0,2.48
Down and Rising,standalone,Rohith S. Katbamna,"['Post Apocalyptic', 'Literary Fiction', 'Dystopia']",676,January 12th 2019,2019,4.85,99.0,14.71
"Stir, Laugh, Repeat: Finding Joy While Playing in the Kitchen",standalone,Martha A. Cheves,"['Cookbooks', 'Nonfiction']",154,June 10th 2008,2008,4.84,100.0,12.19
We Animals,standalone,Jo-Anne McArthur,"['Nonfiction', 'Photography', 'Animals', 'Vegan', 'Activism', 'Art', 'Nature']",202,December 15th 2013,2013,4.83,99.0,39.55
The Complete Calvin and Hobbes,Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comedy', 'Classics', 'Graphic Novels Comics', 'Comic Strips', 'Childrens', 'Comic Book']",1456,09/06/05,2005,4.82,99.0,110.67
The Explorer's Mindset: Unlock Health Happiness and Success the Fun Way,standalone,Francis Shenstone,"['Self Help', 'Philosophy']",208,January 23rd 2019,2019,4.81,100.0,18.56
Fractured Heart,standalone,Aimee Lewis,"['Poetry', 'LGBT']",119,February 20th 2012,2012,4.8,100.0,10.77
Between the Tides: Ebbs of poetry from a stream of thought,standalone,J.D. Estrada,['Poetry'],60,May 10th 2014,2014,4.8,100.0,9.64
"The Way of Kings, Part 2",The Stormlight Archive,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Audiobook', 'Magic', 'Science Fiction Fantasy', 'Novels', 'War']",530,2011,2011,4.79,100.0,3.30
She Shall Be Called Woman: Victoria Botkin's Study of Practical Wisdom From Scripture for the 21st Century Woman,standalone,Victoria Botkin,['Christianity'],212,2011,2011,4.79,100.0,4.19
